,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_name,year
0,0.434,0.296,8,-15.614,1,0.0323,0.827,0.0,0.135,0.352,96.276,audio_features,1gKeImq3kiRBn8yEyQncQP,spotify:track:1gKeImq3kiRBn8yEyQncQP,https://api.spotify.com/v1/tracks/1gKeImq3kiRBn8yEyQncQP,https://api.spotify.com/v1/audio-analysis/1gKeImq3kiRBn8yEyQncQP,125200,3,Theme from A Summer Place,1960
1,0.554,0.186,1,-15.846,1,0.0379,0.909,0.00144,0.11,0.2,81.181,audio_features,7DH5dXVuQaqcKf9oTy9oUN,spotify:track:7DH5dXVuQaqcKf9oTy9oUN,https://api.spotify.com/v1/tracks/7DH5dXVuQaqcKf9oTy9oUN,https://api.spotify.com/v1/audio-analysis/7DH5dXVuQaqcKf9oTy9oUN,138640,3,He'll Have to Go,1960
2,0.507,0.561,7,-10.472,1,0.0353,0.548,0.0,0.59,0.89,120.042,audio_features,27bw4i8LnECzVlbMZ4kFHw,spotify:track:27bw4i8LnECzVlbMZ4kFHw,https://api.spotify.com/v1/tracks/27bw4i8LnECzVlbMZ4kFHw,https://api.spotify.com/v1/audio-analysis/27bw4i8LnECzVlbMZ4kFHw,145933,4,Cathy's Clown,1960
3,0.61,0.688,7,-9.308,1,0.0357,0.573,0.0,0.164,0.761,119.831,audio_features,6wkrULQ7AzurQ0KpXzFDbH,spotify:track:6wkrULQ7AzurQ0KpXzFDbH,https://api.spotify.com/v1/tracks/6wkrULQ7AzurQ0KpXzFDbH,https://api.spotify.com/v1/audio-analysis/6wkrULQ7AzurQ0KpXzFDbH,165893,4,Running Bear,1960
4,0.569,0.0638,0,-18.548,1,0.0458,0.936,0.0,0.122,0.282,101.521,audio_features,6kWR0zt2wWQL3Sjg5ojy9M,spotify:track:6kWR0zt2wWQL3Sjg5ojy9M,https://api.spotify.com/v1/tracks/6kWR0zt2wWQL3Sjg5ojy9M,https://api.spotify.com/v1/audio-analysis/6kWR0zt2wWQL3Sjg5ojy9M,159893,4,Teen Angel,1960
5,0.858,0.547,1,-5.822,1,0.29,0.213,0.0,0.104,0.303,128.02,audio_features,1xcOYJxDa5pObgxY1r0I9c,spotify:track:1xcOYJxDa5pObgxY1r0I9c,https://api.spotify.com/v1/tracks/1xcOYJxDa5pObgxY1r0I9c,https://api.spotify.com/v1/audio-analysis/1xcOYJxDa5pObgxY1r0I9c,211883,4,I'm Sorry,1960
6,0.643,0.491,4,-9.312,1,0.0344,0.642,0.00972,0.286,0.753,126.399,audio_features,1XunTmhOcj3xwh4b8P3isX,spotify:track:1XunTmhOcj3xwh4b8P3isX,https://api.spotify.com/v1/tracks/1XunTmhOcj3xwh4b8P3isX,https://api.spotify.com/v1/audio-analysis/1XunTmhOcj3xwh4b8P3isX,194600,4,It's Now or Never,1960
7,0.804,0.233,2,-14.17,1,0.0312,0.64,0.106,0.0854,0.583,90.639,audio_features,70aUjWZmd9F3bRSsR4DwAJ,spotify:track:70aUjWZmd9F3bRSsR4DwAJ,https://api.spotify.com/v1/tracks/70aUjWZmd9F3bRSsR4DwAJ,https://api.spotify.com/v1/audio-analysis/70aUjWZmd9F3bRSsR4DwAJ,196800,4,Handy Man,1960
8,0.599,0.463,7,-7.449,1,0.0472,0.162,6.64e-05,0.141,0.141,158.053,audio_features,3LBM25IgxI9y549SiYxtSi,spotify:track:3LBM25IgxI9y549SiYxtSi,https://api.spotify.com/v1/tracks/3LBM25IgxI9y549SiYxtSi,https://api.spotify.com/v1/audio-analysis/3LBM25IgxI9y549SiYxtSi,205205,3,Stuck on You,1960
9,0.571,0.618,4,-5.682,1,0.0371,0.18,2.69e-06,0.178,0.852,156.892,audio_features,4YCnTYbq3oL1Lqpyxg33CU,spotify:track:4YCnTYbq3oL1Lqpyxg33CU,https://api.spotify.com/v1/tracks/4YCnTYbq3oL1Lqpyxg33CU,https://api.spotify.com/v1/audio-analysis/4YCnTYbq3oL1Lqpyxg33CU,155040,4,The Twist,1960
10,0.584,0.737,1,-4.643,1,0.0306,0.745,1.93e-05,0.208,0.753,84.322,audio_features,1qC8zQRrdkZCwzQ5N4ECoD,spotify:track:1qC8zQRrdkZCwzQ5N4ECoD,https://api.spotify.com/v1/tracks/1qC8zQRrdkZCwzQ5N4ECoD,https://api.spotify.com/v1/audio-analysis/1qC8zQRrdkZCwzQ5N4ECoD,157880,4,Everybody's Somebody's Fool,1960
11,0.608,0.86,5,-5.324,0,0.0554,0.0991,0.0,0.262,0.437,127.075,audio_features,1NpW5kyvO4XrNJ3rnfcNy3,spotify:track:1NpW5kyvO4XrNJ3rnfcNy3,https://api.spotify.com/v1/tracks/1NpW5kyvO4XrNJ3rnfcNy3,https://api.spotify.com/v1/audio-analysis/1NpW5kyvO4XrNJ3rnfcNy3,232947,4,Wild One,1960
12,0.466,0.125,11,-20.428,0,0.0372,0.863,0.0,0.121,0.338,111.43,audio_features,7LAsDdinXejDwodvelVVTa,spotify:track:7LAsDdinXejDwodvelVVTa,https://api.spotify.com/v1/tracks/7LAsDdinXejDwodvelVVTa,https://api.spotify.com/v1/audio-analysis/7LAsDdinXejDwodvelVVTa,182027,1,Greenfields,1960
13,0.506,0.176,4,-13.962,1,0.0303,0.802,3.93e-06,0.0978,0.492,76.273,audio_features,3XToK0X499i9odkrDCG4FL,spotify:track:3XToK0X499i9odkrDCG4FL,https://api.spotify.com/v1/tracks/3XToK0X499i9odkrDCG4FL,https://api.spotify.com/v1/audio-analysis/3XToK0X499i9odkrDCG4FL,173267,4,What in the World's Come Over You,1960
14,0.654,0.452,2,-9.709,1,0.03,0.835,2.89e-05,0.16,0.691,106.662,audio_features,4f8hBeMXMvssn6HtFAtblo,spotify:track:4f8hBeMXMvssn6HtFAtblo,https://api.spotify.com/v1/tracks/4f8hBeMXMvssn6HtFAtblo,https://api.spotify.com/v1/audio-analysis/4f8hBeMXMvssn6HtFAtblo,259307,3,El Paso,1960
15,0.857,0.503,6,-7.502,1,0.265,0.266,0.0,0.0852,0.867,122.036,audio_features,38nyi6J4H44dXpf0PE3bWE,spotify:track:38nyi6J4H44dXpf0PE3bWE,https://api.spotify.com/v1/tracks/38nyi6J4H44dXpf0PE3bWE,https://api.spotify.com/v1/audio-analysis/38nyi6J4H44dXpf0PE3bWE,152187,4,Alley Oop,1960
16,0.495,0.539,6,-6.088,1,0.0336,0.819,0.0,0.325,0.715,109.49,audio_features,7qinPLZ41lgIGuT40EAFs0,spotify:track:7qinPLZ41lgIGuT40EAFs0,https://api.spotify.com/v1/tracks/7qinPLZ41lgIGuT40EAFs0,https://api.spotify.com/v1/audio-analysis/7qinPLZ41lgIGuT40EAFs0,152267,4,My Heart Has a Mind of Its Own,1960
17,0.778,0.413,5,-10.551,1,0.0514,0.642,0.00104,0.148,0.961,125.235,audio_features,4ZiDhG5Ift5I6reAEOBBec,spotify:track:4ZiDhG5Ift5I6reAEOBBec,https://api.spotify.com/v1/tracks/4ZiDhG5Ift5I6reAEOBBec,https://api.spotify.com/v1/audio-analysis/4ZiDhG5Ift5I6reAEOBBec,144600,4,Sweet Nothin's,1960
18,0.814,0.427,2,-11.543,1,0.0918,0.558,0.0,0.0248,0.964,123.109,audio_features,4aTCNddtjztjuK2EOgz7ZZ,spotify:track:4aTCNddtjztjuK2EOgz7ZZ,https://api.spotify.com/v1/tracks/4aTCNddtjztjuK2EOgz7ZZ,https://api.spotify.com/v1/audio-analysis/4aTCNddtjztjuK2EOgz7ZZ,143733,4,Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini,1960
19,0.57,0.529,5,-10.769,1,0.028,0.377,0.00509,0.203,0.934,123.273,audio_features,0PkBTqRtN25z3oKasWoKlj,spotify:track:0PkBTqRtN25z3oKasWoKlj,https://api.spotify.com/v1/tracks/0PkBTqRtN25z3oKasWoKlj,https://api.spotify.com/v1/audio-analysis/0PkBTqRtN25z3oKasWoKlj,145533,4,Only the Lonely,1960
20,0.326,0.0575,4,-16.5,1,0.0393,0.99,0.887,0.281,0.301,127.397,audio_features,2JR1WeETsXmFR1kRC2oXXq,spotify:track:2JR1WeETsXmFR1kRC2oXXq,https://api.spotify.com/v1/tracks/2JR1WeETsXmFR1kRC2oXXq,https://api.spotify.com/v1/audio-analysis/2JR1WeETsXmFR1kRC2oXXq,168667,5,Where or When,1960
21,0.339,0.406,10,-8.955,1,0.0319,0.865,1.1e-05,0.11,0.619,109.783,audio_features,0oI0ekrSQ3aHiHcMi1B2gK,spotify:track:0oI0ekrSQ3aHiHcMi1B2gK,https://api.spotify.com/v1/tracks/0oI0ekrSQ3aHiHcMi1B2gK,https://api.spotify.com/v1/audio-analysis/0oI0ekrSQ3aHiHcMi1B2gK,118133,3,Sixteen Reasons,1960
22,0.431,0.321,7,-11.827,1,0.0289,0.667,0.0,0.192,0.518,103.164,audio_features,5kA88W2SwVZiPb9rEwnQj6,spotify:track:5kA88W2SwVZiPb9rEwnQj6,https://api.spotify.com/v1/tracks/5kA88W2SwVZiPb9rEwnQj6,https://api.spotify.com/v1/audio-analysis/5kA88W2SwVZiPb9rEwnQj6,162373,3,Puppy Love,1960
23,0.691,0.631,2,-6.478,1,0.0368,0.0483,1.13e-05,0.104,0.8,92.004,audio_features,086myS9r57YsLbJpU0TgK9,spotify:track:086myS9r57YsLbJpU0TgK9,https://api.spotify.com/v1/tracks/086myS9r57YsLbJpU0TgK9,https://api.spotify.com/v1/audio-analysis/086myS9r57YsLbJpU0TgK9,161124,4,Why,1960
